issue_key,project_key,project_name,issue_type,status,priority,created,updated,labels,summary,description,acceptance_criteria,comments
CSCI-770,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,16/Dec/25 9:51 AM,18/Dec/25 9:32 AM,,Appriss worksheet response,"h2. Overview

This task involves reviewing comments related to Appriss data. The goal is to identify and address any issues or concerns raised in the comments. This review is crucial for maintaining data quality and ensuring accurate reporting, ultimately improving the reliability of Appriss data for decision-making.

h2. Steps

# Access the Appriss comment review dashboard.
# Filter comments by date range (last 7 days).
# Read each comment carefully, noting any issues, concerns, or questions.
# Investigate any reported data discrepancies or errors.
# Document findings and resolutions for each comment.
# Escalate any unresolved issues to the appropriate team.
# Update the comment status to ""Resolved"" or ""In Progress"" as appropriate.

h2. Acceptance Criteria

* [ ] All comments from the last 7 days have been reviewed.
* [ ] Each comment has a documented resolution or action plan.
* [ ] All identified data discrepancies have been investigated and addressed.
* [ ] The Appriss comment review dashboard is updated with the current status of each comment.
* [ ] Any escalated issues have been assigned to the appropriate team.","Given, When, Then","Response is now shared with Appriss 

@user @user 

Worksheet link: [https://trebu.sharepoint.com/:x:/r/sites/ProjectManagement/_layouts/15/guestaccess.aspx?e=4%3Atz1jyA&at=9&share=Eb28Xewu_llMqK3p2YLR2KwBt7ctofD_Dodo4-rm-SmXZQ|https://trebu.sharepoint.com/:x:/r/sites/ProjectManagement/_layouts/15/guestaccess.aspx?e=4%3Atz1jyA&at=9&share=Eb28Xewu_llMqK3p2YLR2KwBt7ctofD_Dodo4-rm-SmXZQ]

Hey @user - I believe there are more than 1 question that might need respond?

Just to confirm we have addressed all of them and would you share a screenshot so we can close this one?

Hi @user @user @user , All questions raised is now answered."
CSCI-769,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,16/Dec/25 9:47 AM,22/Dec/25 8:34 AM,,Work breakdown for RF tactical access,"h2. Overview

This card outlines the work required to establish RF tactical access. Providing RF tactical access will enable secure and reliable communication in environments where traditional network infrastructure is unavailable. This is crucial for maintaining operational effectiveness and situational awareness in critical scenarios.

h2. Steps

# Define the specific requirements for RF tactical access, including frequency bands, data rates, and security protocols.
# Identify and procure the necessary hardware and software components, such as radios, antennas, and encryption modules.
# Configure and integrate the RF equipment to establish a functional tactical network.
# Conduct thorough testing of the RF tactical access solution to ensure performance and reliability under various conditions.
# Develop comprehensive documentation and training materials for users of the RF tactical access system.
# Deploy the RF tactical access solution in the designated operational environment.
# Provide ongoing support and maintenance for the RF tactical access system.

h2. Acceptance Criteria

* [ ] The RF tactical access solution meets the defined requirements for frequency bands, data rates, and security protocols.
* [ ] The RF equipment is properly configured and integrated, allowing for seamless communication.
* [ ] The RF tactical access solution demonstrates reliable performance under simulated operational conditions.
* [ ] Comprehensive documentation and training materials are available for users.
* [ ] The RF tactical access solution is successfully deployed in the designated operational environment.
* [ ] A support and maintenance plan is in place for the RF tactical access system.","Given, When, Then","*The solution will be:*

* Create data share between Sigma & CW SF
* Create a dedicated warehouse for Rachel’s team on CW SF
* Her warehouse can only access the 5 x agreed Sigma datasets
* Everything will be automated (CI/CD) – means alignment to security and quick turnaround for future data sharing requests from any team

 

*Cost:*

* For Rachel’s warehouse, start with extra small, apply a cap amount of our choosing
* If above doesn’t suffice then we would dial up accordingly

 

*Timelines:*

* Est delivery date is +*26*++^*th*^+ +*Feb*+ (we aim to finish by +*18*++^*th*^+ +*Feb*++)+
* Detailed plan below (basically 3 x weeks effort between Jag & Harry)
* We estimate this work to start in Feb 2026 because this is when we expect to have production environment ready"
CSCI-750,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,10/Dec/25 10:02 AM,18/Dec/25 11:14 AM,,Appriss query refine,"h2. Overview

The existing Appriss Datashare ELT query requires refinement to improve accuracy, maintainability, and alignment with the current data product standards. This work ensures the ELT logic is consistent with the latest Appriss data-share requirements, resolves gaps identified during QA, and prepares the pipeline for downstream reporting dependencies.

h2. Steps

# Review the current Appriss Datashare ELT SQL and document all existing joins, filters, transformations, and business rules.
# Identify inconsistencies, redundant logic, missing filters, or misaligned business definitions based on updated Appriss documentation and stakeholder feedback.
# Update and refine the SQL ELT logic to reflect the correct business rules, ensuring alignment with Bronze → Silver conventions and naming standards.
# Validate refined output against expected Appriss samples (e.g., benchmark extracts, QA logs, historical outputs).
# Optimise query performance where appropriate (index use, partition pruning, CTE structure, join ordering).
# Peer review with Data Engineering and validate with Appriss SME before promoting the updated query.
# Update documentation, lineage, and add comments within the SQL code for ongoing maintainability.

h2. Deliverables

* Refined and validated Appriss Datashare ELT SQL query.
* Comparison document outlining logic changes vs previous version.
* Updated data lineage / documentation in Confluence & Alation.
* Peer-review sign-off and test results.

h2. Acceptance Criteria

* All business rules in the refined ELT logic align with current Appriss data share specifications.
* Output datasets match expected Appriss benchmarks with no material discrepancies.
* SQL code passes peer review and conforms to internal coding standards.
* Performance is equal to or better than the existing ELT job.
* Documentation and lineage links are updated and published.","Given, When, Then",
CSCI-749,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,09/Dec/25 10:22 AM,12/Dec/25 2:43 PM,,Appriss audit data release,"h3. Context

* 

h3. Objective

* 

h3. Steps 

# 

h3. Deliverables

* 

h3. Assumptions - (Optional)

* 

h3. Acceptance criteria

* 

h3. 

h3. 

h3. 

h3. 

h3. 

h3.","Given, When, Then","Started working on this

Hi @user ,

 

Please find attached the query for AUDIT data. This would be a new table for Audit information. Please let me know when you create the table in Snowflake and load data. I will then create the Benchmark query and share it with you.

Main query and Benchmark query, both are now shared with Mike and data is also populated in Snowflake."
CSCI-748,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,09/Dec/25 10:21 AM,12/Dec/25 2:43 PM,,investigate benchmark transaction issue for benchmark validation data for Appriss,"h3. Context

* 

h3. Objective

* 

h3. Steps 

# 

h3. Deliverables

* 

h3. Assumptions - (Optional)

* 

h3. Acceptance criteria

* 

h3. 

h3. 

h3. 

h3. 

h3. 

h3.","Given, When, Then","I did the investigation from my end. It looks like a legitimate transaction to me. Below is the findings

For : 35358290519654432

Check For Invoice with ID 35358290519654432 Legitimate Invoice 
Check for Electronic Payment Payment Approved, Invoice not voided 
Check Item Level Data Legitimate Invoice 
Check for Audit Data with Abandoned Sales No records of abandoned Sales (SaleactivityID =27) Audit records shows it is legitimate invoice

Checked at Snowflake end as well

For: 35357668968628352

Check For Invoice with ID 35358290519654432 Legitimate Invoice 
Check for Electronic Payment Payment Approved, Invoice not voided ( positive pay) 
Check Item Level Data Legitimate Invoice All line items has got positive qty sold 
Check for Audit Data with Abandoned Sales No records of abandoned Sales (SaleactivityID =27) Audit records shows it is legitimate invoice

Checked at Snowflake end as well

It appears to be a legitimate ."
CSCI-743,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,05/Dec/25 11:37 AM,16/Dec/25 9:55 AM,,Cognos || implementation and review,"h3. Context

* 

h3. Objective

* 

h3. Steps 

# 

h3. Deliverables

* 

h3. Assumptions - (Optional)

* 

h3. Acceptance criteria

* 

h3. 

h3. 

h3. 

h3. 

h3. 

h3.","Given, When, Then",The offshore and DB team is now briefed about the Solution development. Task created for DB Team *REQ0165663 /  RITM0181203*
CSCI-742,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,05/Dec/25 11:33 AM,23/Dec/25 9:47 AM,,Setting up DBT Cloud,"h3. Context

* 

h3. Objective

* 

h3. Steps 

# 

h3. Deliverables

* 

h3. Assumptions - (Optional)

* 

h3. Acceptance criteria

* 

h3. 

h3. 

h3. 

h3. 

h3. 

h3.","Given, When, Then",
CSCI-741,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,04/Dec/25 12:40 PM,05/Dec/25 11:42 AM,,PAM- Cognos Onboarding Questionnaire,"h3. Context

* To help answer [PAM - Cognos Cube Onboarding Questionaire.xlsx|https://mychemist.sharepoint.com/:x:/r/sites/SecurityOperations/_layouts/15/Doc.aspx?sourcedoc=%7B2D64A06A-1AD2-4C17-8246-3845EE9EA80E%7D&file=PAM%20-%20Cognos%20Cube%20Onboarding%20Questionaire.xlsx&wdLOR=c3791FC8F-67AC-4008-A97F-2C072FB52811&action=default&mobileredirect=true&isSPOFile=1&xsdata=MDV8MDJ8fGE5ZmQ2YzIxMzM0ODQ5NmQ3MGQ3MDhkZTMyYzliNjA2fDhiYzAyODBlYjNhZDQzOGFiYThhMmNmMDBkMTlhZjRhfDB8MHw2MzkwMDQwMzkwNTY4Nzk4MzF8VW5rbm93bnxWR1ZoYlhOVFpXTjFjbWwwZVZObGNuWnBZMlY4ZXlKRFFTSTZJbFJsWVcxelgwRlVVRk5sY25acFkyVmZVMUJQVEU5R0lpd2lWaUk2SWpBdU1DNHdNREF3SWl3aVVDSTZJbGRwYmpNeUlpd2lRVTRpT2lKUGRHaGxjaUlzSWxkVUlqb3hNWDA9fDF8TDJOb1lYUnpMekU1T2pFd09UaGpNbUl3TFdJM1pHVXROR1JsWkMwNE9XRmhMV1U0Tnpkak1qazJPR013WWw4ME9HUTNNVGxtTkMweVkyWTRMVFE0TnpRdE9XWTJOUzA0TXpNeE5HRmlNV1E1T1RKQWRXNXhMbWRpYkM1emNHRmpaWE12YldWemMyRm5aWE12TVRjMk5EZ3dOekV3TkRnME1BPT18NTJhOTVhMDgwNTAwNGNmOWY1ZTIwOGRlMzJjOWI2MDV8Y2ZjNjliOThlMjE0NGY1ZGJlNTI1NWJhMzBlZTU1YzM%3D&sdata=ejA2eFdMY3YxRW1TS0VuT1E5Vmo3M2NUcXZvOExESEI0SnVYQXJ4d210VT0%3D&ovuser=1dec29b4-9a5d-41fc-9c75-cdb2cb9c7fe6%2CHan.Li%40sigmahealthcare.com.au]

h3. Acceptance criteria

* All question answer and sent back to security team

h3. 

h3. 

h3. 

h3. 

h3. 

h3.","Given, When, Then",
CSCI-740,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,28/Nov/25 9:44 AM,15/Dec/25 9:21 AM,,Cognos || performance improvement investigation,"Detail to be fill in

h3. *Context*

Users are intermittently unable to see application content in Cognos. IBM’s initial investigation indicates a correlation with JVM memory pressure; JVM size has been increased as recommended.
Further internal analysis shows the issue occurs mainly on Mondays and Tuesdays and coincides with heavy execution of the _Buyer Category Performance Drill-Through Report_, which queries large-volume data across multiple tables.
This report appears to be a significant contributor to JVM load and may be impacting overall Cognos stability.

----

h3. *Acceptance Criteria*

* Performance investigation completed within estimation.
* Root cause confirmed and documented with evidence (logs, query analysis, JVM metrics).
* Proposed optimisation approach reduces report execution time and/or JVM load.

h3. 

h3. 

h3. 

h3. 

h3. 

h3.","Given, When, Then","Started working on this. The objective is to analyze the problem and come up with a solution approach. This task to continue in next sprint.

Thanks @user, Just fyi will move this exact card to next sprint so feel free to add note here as needed

Analysis complete. Creating queries for optimization. 2 queries need to be created for AUS and NZL

Query for AUS is now complete

Queries for NZL is also prepared now."
CSCI-739,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,27/Nov/25 10:45 AM,05/Dec/25 9:40 AM,,Appriss Tactical || Generate Updated Benchmark Dataset with New Logic Applied,"h3. Context

* Create 7* dataset for each Appriss generated script with
* selected 10 stores
** locations:
*** B004: Chadstone Amcal (Customer data enabled)
*** B005: Chadstone SC CWH
*** B057: Hurstville CWH
*** B222: Eastwood CWH
*** B509: Watergardens TC
*** B532: Sydney Central CWH
*** B859: Melbourne Amcal (Customer data enabled)
* Extraction Period: April 28, 2025 to May 16, 2025

h3. Objective

* 

h3. Steps 

# 

h3. Deliverables

* 

h3. Assumptions - (Optional)

* 

h3. Acceptance criteria

* 

h3. 

h3. 

h3. 

h3. 

h3. 

h3.","Given, When, Then","@user Please note the extraction period is now Extraction Period: April 28, 2025 to May 16, 2025 per Frank

FYI @user

Thanks @user for the update. Will proceed accordingly. @user , We need to reload data for the said date range for all tables.

Picking this one now. Work in Progress"
CSCI-738,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,27/Nov/25 10:43 AM,03/Dec/25 10:03 AM,,Appriss Tactical || Join Transactions with Audit Logs,"h3. Context

* Design and implement a Snowflake dataset/view that joins transaction datasets with audit log data, applying the correct mapping logic and exposing required columns for Appriss Retail to validate QA issues.
* Add audit data to ardm_tender simliar to ardm_header
* Add audit data to ardm_event simliar to ardm_header

h3. Objective

* 

h3. Steps 

# 

h3. Deliverables

* 

h3. Assumptions - (Optional)

* 

h3. Acceptance criteria

* Combined dataset contains all columns requested by Appriss.

h3. 

h3. 

h3. 

h3. 

h3. 

h3.","Given, When, Then","Update as of now

# Add Audit Log data for Voided transactions into ARDM_EVENT.-- Completed.
# Add PLU information in Product Reference Data( New Request came today) -- Completed.
# Add Audit log data for voided transactions into ARDM_TENDER  -- In Progress
ETA for 1,2 & 3 -> Tuesday, 2nd Dec

Hi All,

Please find below the updates as of now:

 

# Add Audit Log data for Voided transactions into ARDM_EVENT.-- Completed.
# Add PLU information in Product Reference Data( New Request came 1^st^ Dec) -- Completed.
# Add Audit log data for voided transactions into ARDM_TENDER  -- Completed"
CSCI-737,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,26/Nov/25 10:08 AM,05/Dec/25 12:00 PM,APPRISS_Tactical_Solution,Appriss Tactical || Creating View for extraction script,"Create a set of Snowflake views to support the Appriss Tactical extraction process.
These views will sit on top of the raw source tables ingested via ADF, apply all required SQL transformation logic, and expose clean, consumable outputs for datashare.

*Deliverables*

* *Finalised Snowflake views* representing the curated, transformed outputs required for Appriss data share.","Given, When, Then",
CSCI-736,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,26/Nov/25 8:25 AM,02/Dec/25 9:51 AM,NLP_BI,NLP BI || Datashare establishment,"h3. *Objective*

h3. 
Establish Snowflake Data Share from CW Snowflake to Sigma for key Supply Chain datasets. The share must enable read-only access for Sigma stakeholders and ensure controlled, auditable data exchange with no manual intervention beyond initial setup. Target tables currently sit in EDP_DEV.STG_SOURCE_SUPPLYCHAIN (CW Bronze Layer):

* *DIM_PRODUCT*
* *DIM_STORE*
* *FCT_SALES*
* *FCT_STOCK*

Access to be provided to:

* [Girish.Bhatta@sigmahealthcare.com.au|mailto:Girish.Bhatta@sigmahealthcare.com.au]
* [Dunyin.Gu@sigmahealthcare.com.au|mailto:Dunyin.Gu@sigmahealthcare.com.au]
* [Phoebe.Song@sigmahealthcare.com.au|mailto:Phoebe.Song@sigmahealthcare.com.au]

----

h3. *Acceptance criteria*

* Secure Share created in CW Snowflake
* Tables added: DIM_PRODUCT, DIM_STORE, FCT_SALES, FCT_STOCK for mentioned users

h3. 

h3. 

h3. 

h3. 

h3. 

h3.","Given, When, Then",
